Date,Site_ID,YSI_Depth_m,Temp_C,DO_%,DO_mgL,SPC_uScm,pH,Nitrate,Secchi_m,WaterDepth_m,Notes
20220608,SAR_P2,3.5,NA,NA,NA,NA,NA,NA,1.524,NA,Hit bottom
20220608,SAR_P3,0,15.9,108.5,10.71,317.7,8.22,NA,1.2954,NA,
20220608,SAR_P3,0.5,15.8,108.5,10.73,317.4,8.42,NA,1.2954,NA,
20220608,SAR_P3,1,15.7,106.5,10.59,317.6,8.46,NA,1.2954,NA,
20220608,SAR_P3,1.5,15.6,106.3,10.6,317.3,8.48,NA,1.2954,NA,
20220608,SAR_P3,2,15.5,106.9,10.65,317.1,8.49,NA,1.2954,NA,
20220608,SAR_P3,2.5,15.2,105.2,10.55,317.3,8.49,NA,1.2954,NA,
20220608,SAR_P3,3,15.2,104.7,10.5,317.3,8.49,NA,1.2954,NA,
20220608,SAR_P3,3.5,NA,NA,NA,NA,NA,NA,1.2954,NA,Hit bottom
20220621,SAR_P1,0,18,116,10.97,339.6,8.92,NA,2.1336,2.8956,
20220621,SAR_P1,0.5,17.1,109.6,10.55,340.4,8.85,NA,2.1336,2.8956,
20220621,SAR_P1,1,16.5,105.9,10.32,339.9,8.83,NA,2.1336,2.8956,
20220621,SAR_P1,1.5,16.3,104.8,10.26,339.7,8.82,NA,2.1336,2.8956,
20220621,SAR_P1,2,16.2,104.6,10.26,339.6,8.86,NA,2.1336,2.8956,
20220621,SAR_P1,2.5,16.1,104.1,10.24,339.7,8.81,NA,2.1336,2.8956,
20220621,SAR_P1,3,16,107.3,10.57,339.2,8.81,NA,2.1336,2.8956,
20220621,SAR_P1,3.5,NA,NA,NA,NA,NA,NA,2.1336,2.8956,Hit bottom
20220621,SAR_P2,0,17.8,108.5,10.3,337.8,8.73,NA,1.6764,3.81,
20220621,SAR_P2,0.5,17.8,108.3,10.3,337.7,8.74,NA,1.6764,3.81,
20220621,SAR_P2,1,17.4,108.1,10.34,337.7,8.75,NA,1.6764,3.81,
20220621,SAR_P2,1.5,17,108.1,10.45,336.7,8.77,NA,1.6764,3.81,
20220621,SAR_P2,2,16.8,107.6,10.45,337.1,8.77,NA,1.6764,3.81,
20220621,SAR_P2,2.5,16.6,106.9,10.42,336.8,8.76,NA,1.6764,3.81,
20220621,SAR_P2,3,16.4,106,10.36,336.9,8.74,NA,1.6764,3.81,
20220621,SAR_P2,3.5,NA,NA,NA,NA,NA,NA,1.6764,3.81,
20220621,SAR_P3,0,17.4,109,10.42,337.5,8.7,NA,1.9812,NA,
20220621,SAR_P3,0.5,17.4,108.7,10.41,337.4,8.71,NA,2.9812,NA,
20220621,SAR_P3,1,17.3,108,10.4,337.4,8.71,NA,3.9812,NA,
20220621,SAR_P3,1.5,16.5,105.5,10.3,337.4,8.73,NA,4.9812,NA,
20220621,SAR_P3,2,16.4,105.1,10.3,337.2,8.71,NA,5.9812,NA,
20220621,SAR_P3,2.5,16.3,105.1,10.31,337.2,8.7,NA,6.9812,NA,
20220621,SAR_P3,3,16.1,104.1,10.26,336.8,8.69,NA,7.9812,NA,
20220621,SAR_P3,3.5,NA,NA,NA,NA,NA,NA,8.9812,NA,
20220712,SAR_P1,0,21.2,102.8,9.11,419,8.25,NA,1.2192,2.7432,
20220712,SAR_P1,0.5,21.1,102.6,9.12,419.3,8.26,NA,1.2192,2.7432,
20220712,SAR_P1,1,21,102.4,9.13,418.8,8.26,NA,1.2192,2.7432,
20220712,SAR_P1,1.5,20.9,102,9.1,418.9,8.26,NA,1.2192,2.7432,
20220712,SAR_P1,2,20.7,96.4,8.64,419.2,8.22,NA,1.2192,2.7432,
20220712,SAR_P1,2.5,20.2,99.2,8.97,420.2,8.22,NA,1.2192,2.7432,
20220712,SAR_P1,3,NA,NA,NA,NA,NA,NA,1.2192,2.7432,
20220712,SAR_P1,3.5,NA,NA,NA,NA,NA,NA,1.2192,2.7432,
20220712,SAR_P2,0,20.9,99,8.82,422.8,8.06,NA,1.0668,3.6576,Drited slightly during YSI profile
20220712,SAR_P2,0.5,20.9,98.7,8.82,422.8,8.09,NA,1.0668,3.6576,Drited slightly during YSI profile
20220712,SAR_P2,1,20.8,98.5,8.83,422.9,8.1,NA,1.0668,3.6576,Drited slightly during YSI profile
20220712,SAR_P2,1.5,20.6,98,8.8,422.8,8.11,NA,1.0668,3.6576,Drited slightly during YSI profile
20220712,SAR_P2,2,20.1,86.4,7.82,423.6,8.07,NA,1.0668,3.6576,Drited slightly during YSI profile
20220712,SAR_P2,2.5,19.9,73.3,6.67,424.6,8.01,NA,1.0668,3.6576,Drited slightly during YSI profile
20220712,SAR_P2,3,19.8,67.1,6.12,425.2,7.96,NA,1.0668,3.6576,Drited slightly during YSI profile
20220712,SAR_P2,3.5,NA,NA,NA,NA,NA,NA,1.0668,3.6576,Drited slightly during YSI profile
20220712,SAR_P3,0,20.2,93.1,8.42,423.3,8.09,NA,1.0668,2.7432,
20220712,SAR_P3,0.5,20.2,93,8.41,423.4,8.1,NA,1.0668,2.7432,
20220712,SAR_P3,1,20.1,92.4,8.38,423.3,8.11,NA,1.0668,2.7432,
20220712,SAR_P3,1.5,20,92.4,8.4,423.3,8.11,NA,1.0668,2.7432,
20220712,SAR_P3,2,19.7,91.7,8.37,423.7,8.12,NA,1.0668,2.7432,
20220712,SAR_P3,2.5,19.5,79.6,7.31,424.1,8.06,NA,1.0668,2.7432,Possibly hit bottom during this reading
20220712,SAR_P3,3,NA,NA,NA,NA,NA,NA,1.0668,2.7432,
20220712,SAR_P3,3.5,NA,NA,NA,NA,NA,NA,1.0668,2.7432,
20220728,SAR_P1,0,21.6,96.5,8.49,385.1,8.33,NA,0.9906,2.7432,
20220728,SAR_P1,0.5,21.5,96,8.44,385.8,8.3,NA,0.9906,2.7432,
20220728,SAR_P1,1,21.1,95.8,8.51,385.1,8.29,NA,0.9906,2.7432,
20220728,SAR_P1,1.5,20.7,94.1,8.42,384.7,8.28,NA,0.9906,2.7432,
20220728,SAR_P1,2,20.7,93.2,8.35,384.8,8.25,NA,0.9906,2.7432,
20220728,SAR_P1,2.5,20.2,92,8.21,385.6,8.23,NA,0.9906,2.7432,
20220728,SAR_P1,3,NA,NA,NA,NA,NA,NA,0.9906,2.7432,Hit bottom
20220728,SAR_P1,3.5,NA,NA,NA,NA,NA,NA,0.9906,2.7432,Hit bottom
20220728,SAR_P2,0,21.4,99.2,8.76,393,8.32,NA,0.4572,3.6576,
20220728,SAR_P2,0.5,21.2,98.9,8.77,393.2,8.31,NA,0.4572,3.6576,
20220728,SAR_P2,1,20.8,97.9,8.77,392.9,8.3,NA,0.4572,3.6576,
20220728,SAR_P2,1.5,20.5,94,8.45,392.8,8.26,NA,0.4572,3.6576,
20220728,SAR_P2,2,20.5,93,8.37,393,8.25,NA,0.4572,3.6576,
20220728,SAR_P2,2.5,20.4,90.5,8.14,393.3,8.23,NA,0.4572,3.6576,
20220728,SAR_P2,3,20.4,89.1,8,393.4,8.22,NA,0.4572,3.6576,
20220728,SAR_P2,3.5,20.1,73.8,6.68,394.8,8.13,NA,0.4572,3.6576,Possibly hit bottom
20220728,SAR_P3,0,21,94.5,8.44,395.8,8.34,NA,0.6858,2.5908,
20220728,SAR_P3,0.5,20.8,93,8.35,393.5,8.33,NA,0.6858,2.5908,
20220728,SAR_P3,1,20.4,93,8.38,393,8.32,NA,0.6858,2.5908,
20220728,SAR_P3,1.5,20.3,92.2,8.31,393.1,8.31,NA,0.6858,2.5908,
20220728,SAR_P3,2,20.2,91.5,8.28,392.9,8.29,NA,0.6858,2.5908,
20220728,SAR_P3,2.5,20.2,87.5,7.93,393.2,8.25,NA,0.6858,2.5908,
20220728,SAR_P3,3,20.1,80.6,7.35,392.4,8.18,NA,0.6858,2.5908,
20220728,SAR_P3,3.5,NA,NA,NA,NA,NA,NA,0.6858,2.5908,Hit bottom
20220812,SAR_P1,0,23.1,110.9,9.49,419,8.51,NA,0.762,2.5908,
20220812,SAR_P1,0.5,22.5,110.6,9.56,416.8,8.47,NA,0.762,2.5908,
20220812,SAR_P1,1,22,108.9,9.54,417,8.48,NA,0.762,2.5908,
20220812,SAR_P1,1.5,21.7,108.5,9.54,415.9,8.43,NA,0.762,2.5908,
20220812,SAR_P1,2,21.5,95.8,8.42,416.6,8.36,NA,0.762,2.5908,
20220812,SAR_P1,2.5,21.1,80.6,7.46,418,8.3,NA,0.762,2.5908,
20220812,SAR_P1,3,NA,NA,NA,NA,NA,NA,0.762,2.5908,Hit bottom
20220812,SAR_P1,3.5,NA,NA,NA,NA,NA,NA,0.762,2.5908,Hit bottom
20220812,SAR_P2,0,23.4,105,8.92,430.3,8.37,NA,0.6096,3.5052,
20220812,SAR_P2,0.5,22.9,104.3,8.93,428.4,8.38,NA,0.6096,3.5052,
20220812,SAR_P2,1,21.9,101.4,8.88,429.2,8.41,NA,0.6096,3.5052,
20220812,SAR_P2,1.5,21.4,98.6,8.72,429.1,8.39,NA,0.6096,3.5052,
20220812,SAR_P2,2,21.3,97.2,8.61,428.7,8.35,NA,0.6096,3.5052,
20220812,SAR_P2,2.5,21.2,72.5,6.43,432.2,8.22,NA,0.6096,3.5052,
20220812,SAR_P2,3,21.1,72.2,6.41,432.1,8.2,NA,0.6096,3.5052,
20220812,SAR_P2,3.5,NA,NA,NA,NA,NA,NA,0.6096,3.5052,Hit bottom
20220812,SAR_P3,0,22.2,100,8.7,429.1,8.3,NA,0.6858,2.4384,
20220812,SAR_P3,0.5,22.1,99.6,8.69,429.3,8.32,NA,0.6858,2.4384,
20220812,SAR_P3,1,21.5,98.4,8.67,429,8.33,NA,0.6858,2.4384,
20220812,SAR_P3,1.5,21.2,99.4,8.79,428.5,8.34,NA,0.6858,2.4384,
20220812,SAR_P3,2,21,99.7,8.88,428.9,8.35,NA,0.6858,2.4384,
20220812,SAR_P3,2.5,NA,NA,NA,NA,NA,NA,0.6858,2.4384,Hit bottom
20220812,SAR_P3,3,NA,NA,NA,NA,NA,NA,0.6858,2.4384,Hit bottom
20220812,SAR_P3,3.5,NA,NA,NA,NA,NA,NA,0.6858,2.4384,Hit bottom
20220819,SAR_P1,0,21.2,98.7,8.76,418,8.33,NA,1.0668,2.5908,
20220819,SAR_P1,0.5,21.2,98.5,8.76,417.9,8.34,NA,1.0668,2.5908,
20220819,SAR_P1,1,20.8,98.4,8.77,417.9,8.32,NA,1.0668,2.5908,
20220819,SAR_P1,1.5,20.8,97.7,8.73,417.5,8.3,NA,1.0668,2.5908,
20220819,SAR_P1,2,20.6,97,8.69,417.6,8.29,NA,1.0668,2.5908,
20220819,SAR_P1,2.5,20.6,99.3,8.93,419.6,8.29,NA,1.0668,2.5908,
20220819,SAR_P1,3,NA,NA,NA,NA,NA,NA,1.0668,2.5908,Hit bottom
20220819,SAR_P1,3.5,NA,NA,NA,NA,NA,NA,1.0668,2.5908,Hit bottom
20220819,SAR_P2,0,21.1,96.4,8.55,429.4,8.26,NA,0.6858,3.429,
20220819,SAR_P2,0.5,21.5,98.9,8.73,429.9,8.29,NA,0.6858,3.429,
20220819,SAR_P2,1,20.6,93.3,8.37,429.2,8.27,NA,0.6858,3.429,
20220819,SAR_P2,1.5,20.5,91.9,8.27,429.4,8.25,NA,0.6858,3.429,
20220819,SAR_P2,2,20.3,87.2,7.87,429.6,8.24,NA,0.6858,3.429,
20220819,SAR_P2,2.5,20.2,82.4,7.44,429.9,8.21,NA,0.6858,3.429,
20220819,SAR_P2,3,20.1,72.6,6.57,431,8.15,NA,0.6858,3.429,
20220819,SAR_P2,3.5,NA,NA,NA,NA,NA,NA,0.6858,3.429,Hit bottom
20220819,SAR_P3,0,21.8,101.6,8.91,430.4,8.34,NA,0.6858,2.286,
20220819,SAR_P3,0.5,21.1,98.5,8.76,430.9,8.31,NA,0.6096,2.286,
20220819,SAR_P3,1,20.4,96.8,8.72,429.7,8.3,NA,0.6096,2.286,
20220819,SAR_P3,1.5,20.2,98.5,8.91,429.4,8.3,NA,0.6096,2.286,
20220819,SAR_P3,2,19.9,99.2,9.04,429.2,8.3,NA,0.6096,2.286,
20220819,SAR_P3,2.5,19.8,92.4,8.43,429.5,8.24,NA,0.6096,2.286,Depth = 2.25 m
20220819,SAR_P3,3,NA,NA,NA,NA,NA,NA,0.6096,2.286,Hit bottom
20220819,SAR_P3,3.5,NA,NA,NA,NA,NA,NA,0.6096,2.286,Hit bottom
20220831,SAR_P1,0,22.2,135.1,11.76,421.5,8.48,NA,0.5334,2.5908,
20220831,SAR_P1,0.5,21.5,133.7,11.78,420.8,8.49,NA,0.5334,2.5908,
20220831,SAR_P1,1,18.9,128.9,11.98,418.6,8.55,NA,0.5334,2.5908,
20220831,SAR_P1,1.5,18.3,109.3,10.29,420,8.45,NA,0.5334,2.5908,
20220831,SAR_P1,2,18,81.2,7.69,419.9,8.2,NA,0.5334,2.5908,
20220831,SAR_P1,2.5,NA,NA,NA,NA,NA,NA,0.5334,2.5908,Hit bottom
20220831,SAR_P1,3,NA,NA,NA,NA,NA,NA,0.5334,2.5908,Hit bottom
20220831,SAR_P1,3.5,NA,NA,NA,NA,NA,NA,0.5334,2.5908,Hit bottom
20220831,SAR_P2,0,21.8,114,9.99,431.6,8.49,NA,0.4572,3.5052,
20220831,SAR_P2,0.5,21.8,114.2,10,431.5,8.44,NA,0.4572,3.5052,
20220831,SAR_P2,1,21.7,112.8,9.9,430.8,8.43,NA,0.4572,3.5052,
20220831,SAR_P2,1.5,20.6,108,9.76,432.7,8.41,NA,0.4572,3.5052,
20220831,SAR_P2,2,18.3,102.2,9.61,429.4,8.35,NA,0.4572,3.5052,
20220831,SAR_P2,2.5,18,87.5,8.28,429.9,8.32,NA,0.4572,3.5052,
20220831,SAR_P2,3,17.9,77.6,7.26,431.4,8.27,NA,0.4572,3.5052,
20220831,SAR_P2,3.5,NA,NA,NA,NA,NA,NA,0.4572,3.5052,Hit bottom
20220831,SAR_P3,0,20,114.3,10.4,430.1,8.5,NA,0.6096,2.286,
20220831,SAR_P3,0.5,20,114.7,10.42,430.1,8.45,NA,0.6096,2.286,
20220831,SAR_P3,1,20,114.8,10.44,430,8.43,NA,0.6096,2.286,
20220831,SAR_P3,1.5,19,113.2,10.49,429.9,8.43,NA,0.6096,2.286,
20220831,SAR_P3,2,18,107.4,10.14,428.4,8.42,NA,0.6096,2.286,
20220831,SAR_P3,2.5,NA,NA,NA,NA,NA,NA,0.6096,2.286,Hit bottom
20220831,SAR_P3,3,NA,NA,NA,NA,NA,NA,0.6096,2.286,Hit bottom
20220831,SAR_P3,3.5,NA,NA,NA,NA,NA,NA,0.6096,2.286,Hit bottom
20220621,ALS_P1,0,14.9,92.3,9.23,1372,8.76,NA,2.7432,NA,
20220621,ALS_P1,0.5,15,90.7,9.12,1372,8.85,NA,2.7432,NA,
20220621,ALS_P1,1,15,90.7,9.1,1372,8.86,NA,2.7432,NA,
20220621,ALS_P1,1.5,15,90.2,9.05,1372,8.87,NA,2.7432,NA,
20220621,ALS_P1,2,15,90,9.04,1372,8.88,NA,2.7432,NA,
20220621,ALS_P1,2.5,15,89.8,9.02,1372,8.88,NA,2.7432,NA,
20220621,ALS_P1,3,15,86.3,8.67,1371,8.88,NA,2.7432,NA,
20220621,ALS_P1,3.5,15,81.6,8.19,1371,8.87,NA,2.7432,NA,
20220621,ALS_P1,4,15,75.8,7.57,1370,8.84,NA,2.7432,NA,
20220621,ALS_P1,4.5,15,79.9,8.02,1371,8.85,NA,2.286,NA,
20220621,ALS_P1,5,15.1,65.3,6.58,1371,8.82,NA,2.286,NA,
20220621,ALS_P2,0,15.3,94.5,9.4,1371,8.92,NA,2.286,NA,
20220621,ALS_P2,0.5,15.4,93.7,9.33,1372,8.93,NA,2.286,NA,
20220621,ALS_P2,1,15.4,93.5,9.31,1372,8.94,NA,2.286,NA,
20220621,ALS_P2,1.5,15.4,91.9,9.1,1371,8.94,NA,2.286,NA,
20220621,ALS_P2,2,15.4,86,8.56,1370,8.93,NA,2.286,NA,
20220621,ALS_P2,2.5,15.4,80.8,8.02,1369,8.91,NA,2.286,NA,
20220621,ALS_P2,3,15.3,79,7.87,1369,8.89,NA,2.286,NA,
20220621,ALS_P2,3.5,15.3,80.4,8.02,1369,8.89,NA,2.286,NA,
20220621,ALS_P2,4,15.3,77.4,7.73,1369,8.89,NA,2.286,NA,
20220621,ALS_P2,4.5,15.3,75.6,7.47,1369,8.88,NA,2.286,NA,
20220621,ALS_P2,5,15.3,72.1,7.2,1369,8.87,NA,2.286,NA,
20220621,ALS_P3,0,15.4,85.5,8.51,1371,8.92,NA,2.1336,NA,
20220621,ALS_P3,0.5,15.4,85.8,8.54,1371,8.92,NA,2.1336,NA,
20220621,ALS_P3,1,15.4,86.4,8.6,1371,8.92,NA,2.1336,NA,
20220621,ALS_P3,1.5,15.4,86.7,8.64,1371,8.92,NA,2.1336,NA,
20220621,ALS_P3,2,15.3,86.6,8.63,1370,8.92,NA,2.1336,NA,
20220621,ALS_P3,2.5,15.3,86,8.56,1370,8.92,NA,2.1336,NA,
20220621,ALS_P3,3,15.2,82.4,8.24,1369,8.9,NA,2.1336,NA,
20220621,ALS_P3,3.5,15.2,80.8,8.11,1368,8.89,NA,2.1336,NA,
20220621,ALS_P3,4,15.2,65,6.47,1367,8.79,NA,2.1336,NA,Hit bottom 
20220623,WHE_P1,0,16.3,111.8,10.94,974,8.81,NA,1.3716,4.572,
20220623,WHE_P1,0.5,16.3,111.9,10.95,975,8.79,NA,1.3716,4.572,
20220623,WHE_P1,1,16.3,112.1,10.97,975,8.78,NA,1.3716,4.572,
20220623,WHE_P1,1.5,16.3,111.8,10.94,975,8.77,NA,1.3716,4.572,
20220623,WHE_P1,2,16.2,111.8,10.95,975,8.77,NA,1.3716,4.572,
20220623,WHE_P1,2.5,16,110.3,10.84,975,8.76,NA,1.3716,4.572,
20220623,WHE_P1,3,16,109.7,10.8,975,8.76,NA,1.3716,4.572,
20220623,WHE_P1,3.5,15.4,109.1,10.88,973,8.77,NA,1.3716,4.572,
20220623,WHE_P1,4,15.1,104.5,10.48,974,8.75,NA,1.3716,4.572,
20220623,WHE_P1,4.5,15,102.6,10.32,974,8.74,NA,1.3716,4.572,
20220623,WHE_P1,5,15,100.7,10.14,973,8.72,NA,1.3716,4.572,
20220623,WHE_P2,0,15.8,119,11.76,973,8.81,NA,1.6764,2.77368,
20220623,WHE_P2,0.5,15.8,119.1,11.77,973,8.81,NA,1.6764,2.77368,
20220623,WHE_P2,1,15.8,118.9,11.75,973,8.81,NA,1.6764,2.77368,
20220623,WHE_P2,1.5,15.8,118.9,11.75,973,8.81,NA,1.6764,2.77368,
20220623,WHE_P2,2,15.8,118.9,11.75,973,8.81,NA,1.6764,2.77368,
20220623,WHE_P2,2.5,15.8,119.9,11.86,976,8.82,NA,1.6764,2.77368,
20220623,WHE_P2,3,15.6,120.8,12.01,970,8.83,NA,1.6764,2.77368,
20220623,WHE_P2,3.5,NA,NA,NA,NA,NA,NA,1.6764,2.77368,
