Site_ID_pseudonym,Reservoir_ID,Reservoir_Name,Sample_ID,Collection_Date,Species_Name,biomass_ugL,Count,Size,Functional_Group,Trophic_Group,Feeding_Type,FTG_Combined,Trophic_Group_General
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Nauplii_general,0.000540547,0.00716327,0.151,Nauplii,NA,NA,NA_ NA,Nauplii
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Ostracod,NA,NA,NA,Ostrocoda,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Daphnia_Retrocurva,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Eubosmina_coregoni,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Snail_spp,NA,NA,NA,Gastropoda,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Diptera_spp,NA,NA,NA,Insecta,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210614,6/14/2021,Gastropus_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Cladocera_general,NA,4.36E-05,NA,Cladocera,Herbivore,G-Filtration,Herbivore_ G-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Daphnia_galeata_mendote,0.050447679,0.002035685,1.761,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Daphnia_pulex,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Daphnia_schodleri,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
