,Site_ID_pseudonym,Reservoir_ID,Reservoir_Name,Sample_ID,Site_ID,DUP,Collection_Date,Species_Name,biomass_ugL,Count,Size,Functional_Group,Trophic_Group,Feeding_Type,FTG_Combined,Trophic_Group_General
25,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Eucyclops_spp,NA,NA,NA,Cyclopoida,Omnivore herbivore,Raptorial,Omnivore herbivore_ Raptorial,Omnivore
26,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Notholca_spp,NA,NA,NA,Rotifera,Herbivore,R-Filtration,Herbivore_ R-Filtration,Herbivore_Rotifer
27,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Polyarthra_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
28,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Ascomorpha_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
29,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Keratella_quadrata,2.76E-14,0.000368205,0.148,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
30,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Asplanchna_spp,NA,NA,NA,Rotifera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore_Rotifer
31,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Amphipoda_general,NA,NA,NA,Amphipoda,NA,NA,NA_ NA,NA
32,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Mites_general,NA,NA,NA,Arachnida,NA,NA,NA_ NA,NA
33,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Alpine_general,NA,NA,NA,Alpine,NA,NA,NA_ NA,NA
34,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Daphnia_middenorfiana,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
35,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Nauplii_general,0.000540547,0.00716327,0.151,Nauplii,NA,NA,NA_ NA,Nauplii
36,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Ostracod,NA,NA,NA,Ostrocoda,NA,NA,NA_ NA,NA
37,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Daphnia_Retrocurva,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
38,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Eubosmina_coregoni,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
39,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Snail_spp,NA,NA,NA,Gastropoda,NA,NA,NA_ NA,NA
40,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Diptera_spp,NA,NA,NA,Insecta,NA,NA,NA_ NA,NA
41,C,ALC,Alcova,ALC_P1_20210614,P1,,6/14/2021,Gastropus_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
42,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Cladocera_general,NA,4.36E-05,NA,Cladocera,Herbivore,G-Filtration,Herbivore_ G-Filtration,Herbivore
43,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Daphnia_galeata_mendote,0.050447679,0.002035685,1.761,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
44,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Daphnia_pulex,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
45,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Daphnia_schodleri,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
46,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Daphnia_pulicaria,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
47,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Daphnia_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
48,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Diaphanosoma_birgei,NA,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
49,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Ceriodaphnia_reticulata,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
50,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Moina_spp,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
51,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Bosmina_longirostris,NA,1.45E-05,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
52,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Macrothrix_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
53,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Kurzia_latissima,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
54,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Leydlgla_quadrangularis,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
55,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Chydorus_sphaericus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
56,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Leptodora_kindti,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
57,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Pseudo_chydorus_globosus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
58,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Polyphemus_pediculus,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
59,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Holopedium_gibberum,NA,1.45E-05,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
60,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Calanoida_general,0.007029707,0.002442822,0.814,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
61,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Leptodiaptomus_ashlandi,0.005693751,0.000988761,1.064,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
