Reservoir_ID,Site_ID,DUP,Collection_Date,Depth_m,Temp_C,pH,SPC_uScm,DO_mgL,DO_percent,Secchi_m,WaterDepth_m,chl_a_ugL
GRY,P2,,20220817,0.5,24.9,8.45,636,10.1,121.9,2.5908,16.39824,3.3340656
GRY,P3,,20220817,0.5,25.2,8.46,637,9.79,119,2.5908,9.72312,2.9478792
GRY,P1,,20220930,0.5,18.2,8.16,599,9.62,102.3,3.3528,14.0208,5.371707
GRY,P2,,20220930,0.5,18.1,8.14,599,9.25,98.1,1.2192,12.16152,5.9323548
GRY,P3,,20220930,0.5,18,8.29,599,10.18,107.7,1.2192,8.8392,8.931048
GRY,P1,,20221020,0.5,13.4,8.38,594,10.88,104.5,1.0668,14.87424,8.32128
GRY,P2,,20221020,0.5,13.6,8.24,592,12.24,118,1.0668,12.55776,10.9568328
GRY,P3,,20221020,0.5,13.5,8.26,592,12.61,121.3,1.0668,9.69264,7.0204416
SAR,P1,,20220511,0.5,10.2,8.36,374,8.76,78,NA,NA,4.0657872
SAR,P2,,20220511,0.5,10.3,8.32,370.2,8.72,77.9,1.2192,NA,2.2703592
SAR,P3,,20220511,0.5,10.7,8.41,370.3,8.75,78.8,1.2192,2.8956,1.907886
SAR,P1,,20220524,0.5,12.1,8.34,376.7,11.97,111.4,1.2192,NA,2.0061264
SAR,P2,,20220524,0.5,12.1,8.38,371.5,12.1,112.6,1.0668,NA,0.6409236
SAR,P3,,20220524,0.5,11.1,8.32,371.4,11.68,106.3,1.3716,NA,1.128738
SAR,P1,,20220608,0.5,15.6,8.09,320.8,10.79,108.5,1.8288,2.7432,1.70463
SAR,P2,,20220608,0.5,15.7,8.08,317.2,10.69,107.7,1.524,NA,0.56165376
SAR,P3,,20220608,0.5,15.8,8.42,317.4,10.73,108.5,1.2954,NA,1.755444
SAR,P1,,20220621,0.5,17.1,8.85,340.4,10.55,109.6,2.1336,2.8956,1.3455444
SAR,P2,,20220621,0.5,17.8,8.74,337.7,10.3,108.3,1.6764,3.81,2.0586342
SAR,P3,,20220621,0.5,17.4,8.71,337.4,10.41,108.7,2.9812,NA,0.7865904
SAR,P1,,20220712,0.5,21.1,8.26,419.3,9.12,102.6,1.2192,2.7432,2.9140032
SAR,P2,,20220712,0.5,20.9,8.09,422.8,8.82,98.7,1.0668,3.6576,3.076608
SAR,P3,,20220712,0.5,20.2,8.1,423.4,8.41,93,1.0668,2.7432,2.594234839
SAR,P1,,20220728,0.5,21.5,8.3,385.8,8.44,96,0.9906,2.7432,4.47839
SAR,P1,DUP,20220728,0.5,21.5,8.3,385.8,8.44,96,0.9906,2.92608,4.47839
SAR,P2,,20220728,0.5,21.2,8.31,393.2,8.77,98.9,0.4572,3.6576,2.383724
SAR,P3,,20220728,0.5,20.8,8.33,393.5,8.35,93,0.6858,2.5908,2.485352
SAR,P3,DUP,20220728,0.5,20.8,8.33,393.5,8.85,93,0.6858,2.5908,2.485352
SAR,P1,,20220812,0.5,22.5,8.47,416.8,9.56,110.6,0.762,2.5908,4.3164696
SAR,P2,,20220812,0.5,22.9,8.38,428.4,8.93,104.3,0.6096,3.5052,4.4892372
SAR,P3,,20220812,0.5,22.1,8.32,429.3,8.69,99.6,0.6858,2.4384,2.687034
SAR,P1,,20220819,0.5,21.2,8.34,417.9,8.76,98.5,1.0668,2.5908,5.617308
SAR,P2,,20220819,0.5,21.5,8.29,429.9,8.73,98.9,0.6858,3.429,5.1450714
SAR,P2,DUP,20220819,0.5,21.5,8.29,429.9,8.73,98.9,0.6858,3.469,5.1450714
SAR,P3,,20220819,0.5,21.1,8.31,430.9,8.76,98.5,0.6096,2.286,2.574179318
SAR,P1,,20220831,0.5,21.5,8.49,420.8,11.78,133.7,0.5334,2.5908,6.158115294
SAR,P1,DUP,20220831,0.5,21.5,8.49,420.8,11.78,133.7,0.5334,2.5908,5.26161
SAR,P1,DUP,20220831,0.5,21.3,8.49,420.8,11.78,133.7,0.5334,2.5908,6.158115294
SAR,P1,DUP,20220831,0.5,21.3,8.49,420.8,11.78,133.7,0.5334,2.5908,5.26161
SAR,P2,,20220831,0.5,21.8,8.44,431.5,10,114.2,0.4572,3.5052,4.804284
SAR,P2,DUP,20220831,0.5,21.8,8.44,431.5,10,114.2,0.4572,3.5052,4.320971294
SAR,P3,,20220831,0.5,20,8.45,430.1,10.42,114.7,0.6096,2.286,7.0333248
SAR,P3,DUP,20220831,0.5,20,8.45,430.1,10.42,114.7,0.6096,2.286,4.2927564
SAR,P1,,20220912,0.5,17.1,8.43,446.3,9.73,100.9,0.381,2.7432,NA
SAR,P2,,20220912,0.5,17.9,8.38,457.8,9.42,99.4,0.3048,3.3528,NA
SAR,P2,DUP,20220912,0.5,18,8.48,458.9,9.38,99.2,0.3048,3.3528,NA
SAR,P3,,20220912,0.5,18.1,8.45,458.2,9.72,103.3,0.381,2.286,NA
SAR,P3,DUP,20220912,0.5,18.5,8.52,458.6,9.81,104.8,0.381,2.286,NA
SAR,P1,,20220928,0.5,14.7,8.52,416,12.01,118.4,0.4572,2.4384,6.4513248
SAR,P2,,20220928,0.5,14.1,8.45,424.5,10.95,106.7,0.4572,3.6576,4.1816328
SAR,P3,,20220928,0.5,14.6,8.41,424.7,11.12,109.4,0.4572,2.3622,4.58409
SAR,P1,,20221019,0.5,10.2,8.65,413.7,12.81,114.2,1.143,2.3622,1.5928392
SAR,P2,,20221019,0.5,10.4,8.57,416.7,13.41,120.1,1.6764,3.6576,1.60334076
